word,translation,definition,example_usage
divined,占卜,"To have discovered something seemingly by supernatural or magical means; to have ascertained something through intuition or insight.
","The fortune teller, peering into the crystal ball, divined a prosperous future for the young couple.
"
divinity,神,"The state or quality of being divine; the nature of a god or goddess; a divine being.
","The stained-glass window depicted the divinity of Christ.
"
djinni,精灵,"A supernatural being, often described as a spirit or genie,  capable of both good and evil,  frequently imprisoned in a container and summoned to grant wishes.
","The djinni granted the fisherman three wishes, but warned him to choose carefully.
"
doff,脱,"To remove (something, especially a hat or glove) from oneself.
","He doffed his cap as the Queen passed by.
"
doggedly,顽强地,"With persistent determination, despite difficulty or opposition.
","Despite the pouring rain and the growing darkness, she doggedly continued her trek up the mountain.
"
doldrums,低迷,"A state of inactivity or stagnation, often accompanied by low spirits and a lack of motivation.
","After weeks of exciting adventures, their expedition fell into the doldrums, marked by monotonous days and dwindling supplies.
"
doleful,悲哀的,"Expressing sorrow; mournful.
","The dog gave a doleful whine when its owner left for work.
"
doleful,愚蠢的,"Expressing sorrow; mournful.
","The doleful dog slumped by the empty food bowl, his tail dragging on the floor.
"
dollop,译者语,"A small, rounded lump or blob of a soft substance.
","He added a dollop of whipped cream to his hot chocolate.
"
Domineering,盛气凌人,"Having or showing a tendency to control people; bossy.
","Her domineering mother-in-law insisted on choosing the wedding colors.
"
doofus,doofus,"A silly or foolish person.
","That doofus left the oven on all night!
"
doppelganger,分身,"A ghostly double or counterpart of a living person.
","The eerie resemblance between the stranger and the missing heiress was unsettling; some whispered she was a doppelganger.
"
dormer,天窗,"A structure projecting from a sloping roof, typically containing a window.
","The attic room, illuminated by a small dormer window, offered a charming view of the garden.
"
dotingly,宠溺地,"Showing excessive fondness or love, often to the point of being indulgent or overprotective.
","The grandmother dotingly stroked the baby's cheek.
"
dour,阴沉,"Severe and ill-humored; gloomy.
","The dour shopkeeper barely looked up from his ledger as I entered the store.
"
dour,阴沉的,"Severe and gloomy in manner or appearance.
","The dour librarian shushed us with a pointed finger.
"
douse,浇灭,"To extinguish something, usually flames, by pouring liquid over it.  It can also mean to immerse something completely in a liquid.
","The firefighters doused the flames with water.
"
dousing,浇灌,"To thoroughly soak or wet something.
","The firefighters were dousing the flames with water.
"
dowagerdom,贵妇地位,"The state or period of being a widow, especially one of wealth and status, who retains the title and privileges of her deceased husband.
","Her dowagerdom was marked by a quiet but powerful influence on local charities.
"
downbeat,悲观的,"The opposite of upbeat;  characterized by pessimism or negativity;  a feeling of dejection or depression.  In music, it refers to the first beat of a measure.
","The band's downbeat performance lacked energy and enthusiasm.
"
downtrodden,压抑,"Oppressed and treated unfairly, often for an extended period, leading to a feeling of powerlessness.
","The downtrodden peasants finally revolted against their oppressive landlords.
"
dowry,嫁妆,"A sum of money or property the bride's family gives to the groom upon marriage.
","In some cultures, a substantial dowry was traditionally given by the bride's family to the groom upon marriage.
"
drab,单调,"Lacking brightness or saturation; dull and monotonous in color or appearance.  It can also describe something lacking in vitality, interest, or excitement.
","The drab apartment was painted a depressing shade of beige.
"
draconian,严厉的,"Exceedingly harsh and severe.
","The draconian laws imposed after the coup d'état severely restricted freedom of speech.
"
drafty,通风的,"Letting in unwanted air currents, often cold.
","The old house was drafty, letting in a cold wind through the gaps in the windows.
"
dragoman,译员,"A person who translates and interprets, especially one employed to assist travelers in the East.
","The wealthy traveler hired a dragoman to navigate the bustling souk and translate during his negotiations with local merchants.
"
dredge,疏通,"To bring something up from the bottom of a body of water, or to search for something thoroughly.  It can also refer to a machine used for this purpose.
","The archaeologist used a dredge to recover artifacts from the seabed.
"
dregs,渣,"The leftover, worthless, or undesirable part of something.
","He poured the dregs of his coffee into the sink.
"
dribble,运球,"To let a liquid fall in drops; to allow a ball to bounce along the ground while moving forward.
","The baby dribbled milk down his chin.
"
drink the kool aid,a person who believes in a possibly doomed or dangerous idea because of perceived potential high rewards,"To blindly and enthusiastically embrace a cause, belief, or ideology, often without critically examining it.  It implies a willingness to accept something unquestioningly, even if it's potentially harmful or irrational.
","He refused to drink the Kool-Aid, opting instead to challenge the company's questionable practices.
"
drivel,胡言乱语,"Nonsensical or rambling speech or writing; silly or meaningless talk.
","He stopped listening to the politician's drivel about tax cuts.
"
drudgery,苦差事,"Monotonous, tedious, and unpleasant work that is often hard and laborious.
","The daily drudgery of cleaning the stables left him exhausted.
"
